,Name,Ticker
0,20 Microns Ltd.,20MICRONS
1,360 One Wam Ltd.,360ONE
2,3M India Ltd.,3MINDIA
3,3P Land Holdings Ltd.,3PLAND
4,3i Infotech Ltd.,3IINFOLTD
5,5Paisa Capital Ltd.,5PAISA
6,63 Moons Technologies Ltd.,63MOONS
7,A2Z Infra Engineering Ltd.,A2ZINFRA
8,AAA Technologies Ltd.,AAATECH
9,ABB India Ltd.,ABB
10,ABM International Ltd.,ABMINTLLTD
11,ACC Ltd.,ACC
12,ADF Foods Ltd.,ADFFOODS
13,AGI Greenpac Ltd.,AGI
14,AGS Transact Technologies Ltd.,AGSTRA
15,AIA Engineering Ltd.,AIAENG
16,AJR Infra and Tolling Ltd.,AJRINFRA
17,AKG Exim Ltd.,AKG
18,AMD Industries Ltd.,AMDIND
19,AMJ Land Holdings Ltd.,AMJLAND
20,APL Apollo Tubes Ltd.,APLAPOLLO
21,ARSS Infrastructure Projects Ltd.,ARSSINFRA
22,ART Nirman Ltd.,ARTNIRMAN
23,ASK Automotive Ltd.,ASKAUTOLTD
24,AVG Logistics Ltd.,AVG
25,AVT Natural Products Ltd.,AVTNPL
26,AXISCADES Technologies Ltd.,AXISCADES
27,AYM Syntex Ltd.,AYMSYNTEX
28,Aakash Exploration Services Ltd.,AAKASH
29,Aarey Drugs & Pharmaceuticals Ltd.,AAREYDRUGS
30,Aaron Industries Ltd.,AARON
31,Aartech Solonics Ltd.,AARTECH
32,Aarti Drugs Ltd.,AARTIDRUGS
33,Aarti Industries Ltd.,AARTIIND
34,Aarti Pharmalabs Ltd.,AARTIPHARM
35,Aarti Surfactants Ltd.,AARTISURF
36,Aarvee Denims and Exports Ltd.,AARVEEDEN
37,Aarvi Encon Ltd.,AARVI
38,Aavas Financiers Ltd.,AAVAS
39,Aban Offshore Ltd.,ABAN
40,Abans Holdings Ltd.,AHL
41,Abbott India Ltd.,ABBOTINDIA
42,Accelya Solutions India Ltd.,ACCELYA
43,Accuracy Shipping Ltd.,ACCURACY
44,Ace Integrated Solutions Ltd.,ACEINTEG
45,Action Construction Equipment Ltd.,ACE
46,Adani Energy Solutions Ltd.,ADANIENSOL
47,Adani Enterprises Ltd.,ADANIENT
48,Adani Green Energy Ltd.,ADANIGREEN
49,Adani Ports & Special Economic Zone Ltd.,ADANIPORTS
50,Adani Power Ltd.,ADANIPOWER
51,Adani Total Gas Ltd.,ATGL
52,Adani Wilmar Ltd.,AWL
53,Aditya Birla Capital Ltd.,ABCAPITAL
54,Aditya Birla Fashion and Retail Ltd.,ABFRL
55,Aditya Birla Money Ltd.,BIRLAMONEY
56,Aditya Birla Sun Life AMC Ltd.,ABSLAMC
57,Ador Welding Ltd.,ADORWELD
58,Adroit Infotech Ltd.,ADROITINFO
59,Advanced Enzyme Technologies Ltd.,ADVENZYMES
60,Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR
61,Aegis Logistics Ltd.,AEGISCHEM
62,Aeroflex Industries Ltd.,AEROFLEX
63,Aether Industries Ltd.,AETHER
64,Affle (India) Ltd.,AFFLE
65,Agarwal Industrial Corporation Ltd.,AGARIND
66,Agri-Tech (India) Ltd.,AGRITECH
67,Agro Phos India Ltd.,AGROPHOS
68,Agro Tech Foods Ltd.,ATFL
69,Ahlada Engineers Ltd.,AHLADA
70,Ahluwalia Contracts (India) Ltd.,AHLUCONT
71,Airan Ltd.,AIRAN
72,Airo Lam Ltd.,AIROLAM
73,Ajanta Pharma Ltd.,AJANTPHARM
74,Ajmera Realty & Infra India Ltd.,AJMERA
75,Ajooni Biotech Ltd.,AJOONI
76,Akash Infra-Projects Ltd.,AKASH
77,Aki India Ltd.,AKI
78,Aksh Optifibre Ltd.,AKSHOPTFBR
79,Akshar Spintex Ltd.,AKSHAR
