SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,,YahooEquiv,Yahoo_Equivalent_Code
20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,1,INE144J01027,5,.NS,20MICRONS.NS,"'20MICRONS.NS',"
21STCENMGM,21st Century Management Services Limited,EQ,03-May-95,10,1,INE253B01015,10,.NS,21STCENMGM.NS,"'21STCENMGM.NS',"
3IINFOTECH,3i Infotech Limited,EQ,22-Apr-05,10,1,INE748C01020,10,.NS,3IINFOTECH.NS,"'3IINFOTECH.NS',"
3MINDIA,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10,.NS,3MINDIA.NS,"'3MINDIA.NS',"
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,1,INE105C01023,2,.NS,3PLAND.NS,"'3PLAND.NS',"
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10,.NS,5PAISA.NS,"'5PAISA.NS',"
63MOONS,63 moons technologies limited,BE,20-Jun-05,2,1,INE111B01023,2,.NS,63MOONS.NS,"'63MOONS.NS',"
8KMILES,8K Miles Software Services Limited,BE,29-Jan-14,5,1,INE650K01021,5,.NS,8KMILES.NS,"'8KMILES.NS',"
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,1,INE619I01012,10,.NS,A2ZINFRA.NS,"'A2ZINFRA.NS',"
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,10,1,INE087Z01016,10,.NS,AAKASH.NS,"'AAKASH.NS',"
AARON,Aaron Industries Limited,EQ,06-Nov-20,10,1,INE721Z01010,10,.NS,AARON.NS,"'AARON.NS',"
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,1,INE767A01016,10,.NS,AARTIDRUGS.NS,"'AARTIDRUGS.NS',"
AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,5,1,INE769A01020,5,.NS,AARTIIND.NS,"'AARTIIND.NS',"
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,10,1,INE09EO01013,10,.NS,AARTISURF.NS,"'AARTISURF.NS',"
AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-Nov-06,10,1,INE273D01019,10,.NS,AARVEEDEN.NS,"'AARVEEDEN.NS',"
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,1,INE754X01016,10,.NS,AARVI.NS,"'AARVI.NS',"
AAVAS,Aavas Financiers Limited,EQ,08-Oct-18,10,1,INE216P01012,10,.NS,AAVAS.NS,"'AAVAS.NS',"
ABAN,Aban Offshore Limited,BE,29-Mar-95,2,1,INE421A01028,2,.NS,ABAN.NS,"'ABAN.NS',"
ABB,ABB India Limited,EQ,08-Feb-95,2,1,INE117A01022,2,.NS,ABB.NS,"'ABB.NS',"
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-10,10,1,INE358A01014,10,.NS,ABBOTINDIA.NS,"'ABBOTINDIA.NS',"
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-17,10,1,INE674K01013,10,.NS,ABCAPITAL.NS,"'ABCAPITAL.NS',"
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,1,INE647O01011,10,.NS,ABFRL.NS,"'ABFRL.NS',"
ABMINTLTD,ABM International Limited,BE,14-Jun-16,10,1,INE251C01017,10,.NS,ABMINTLTD.NS,"'ABMINTLTD.NS',"
ACC,ACC Limited,EQ,20-Nov-96,10,1,INE012A01025,10,.NS,ACC.NS,"'ACC.NS',"
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-99,10,1,INE793A01012,10,.NS,ACCELYA.NS,"'ACCELYA.NS',"
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,10,1,INE648Z01015,10,.NS,ACCURACY.NS,"'ACCURACY.NS',"
ACE,Action Construction Equipment Limited,EQ,26-Sep-06,2,1,INE731H01025,2,.NS,ACE.NS,"'ACE.NS',"
ACRYSIL,Acrysil Limited,EQ,14-Jan-21,2,1,INE482D01024,2,.NS,ACRYSIL.NS,"'ACRYSIL.NS',"
ADANIENT,Adani Enterprises Limited,EQ,04-Jun-97,1,1,INE423A01024,1,.NS,ADANIENT.NS,"'ADANIENT.NS',"
ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,10,1,INE364U01010,10,.NS,ADANIGREEN.NS,"'ADANIGREEN.NS',"
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,1,INE742F01042,2,.NS,ADANIPORTS.NS,"'ADANIPORTS.NS',"
ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,10,1,INE814H01011,10,.NS,ADANIPOWER.NS,"'ADANIPOWER.NS',"
ADANITRANS,Adani Transmission Limited,EQ,31-Jul-15,10,1,INE931S01010,10,.NS,ADANITRANS.NS,"'ADANITRANS.NS',"
ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,10,1,INE982B01019,10,.NS,ADFFOODS.NS,"'ADFFOODS.NS',"
ADHUNIKIND,Adhunik Industries Limited,BE,01-Jul-16,10,1,INE452L01012,10,.NS,ADHUNIKIND.NS,"'ADHUNIKIND.NS',"
ADL,Archidply Decor Limited,BE,01-Oct-20,10,1,INE0CHO01012,10,.NS,ADL.NS,"'ADL.NS',"
ADORWELD,Ador Welding Limited,EQ,10-May-95,10,1,INE045A01017,10,.NS,ADORWELD.NS,"'ADORWELD.NS',"
ADROITINFO,Adroit Infotech Limited,BE,13-Aug-97,10,1,INE737B01033,10,.NS,ADROITINFO.NS,"'ADROITINFO.NS',"
ADSL,Allied Digital Services Limited,EQ,25-Jul-07,5,1,INE102I01027,5,.NS,ADSL.NS,"'ADSL.NS',"
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,BE,25-Jun-07,2,1,INE199C01026,2,.NS,ADVANIHOTR.NS,"'ADVANIHOTR.NS',"
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-Aug-16,2,1,INE837H01020,2,.NS,ADVENZYMES.NS,"'ADVENZYMES.NS',"
